uid,Cond,ResponseRegion,LatentPOPRegion,JointMass,ResponseMass,PosteriorGivenResponse
HC,S2C2NR,Central,Central,0.604208767464261,0.657106420715279,0.919499107627898
HC,S2C2NR,Central,Shoulder,0.0528972758460138,0.657106420715279,0.0805003180282938
HC,S2C2NR,Central,Tail,3.77405003967283e-07,0.657106420715279,5.74343808049337e-07
HC,S2C2NR,Shoulder,Central,0.10209361550517,0.314737537119634,0.324376991824662
HC,S2C2NR,Shoulder,Shoulder,0.21079987394168,0.314737537119634,0.66976400676845
HC,S2C2NR,Shoulder,Tail,0.00184404767278436,0.314737537119634,0.00585900140688785
HC,S2C2NR,Tail,Central,1.80017884403407e-05,0.0281560421650877,0.000639357915959587
HC,S2C2NR,Tail,Shoulder,0.0082249544882721,0.0281560421650877,0.292120406698023
HC,S2C2NR,Tail,Tail,0.0199130858883752,0.0281560421650877,0.707240235386017
HC,S4C2NR,Central,Central,0.588770387080711,0.642466465100077,0.916421975408472
HC,S4C2NR,Central,Shoulder,0.0536952836523081,0.642466465100077,0.0835767881580309
HC,S4C2NR,Central,Tail,7.94367058055555e-07,0.642466465100077,1.23643349685468e-06
HC,S4C2NR,Shoulder,Central,0.105036191897088,0.314144852520611,0.334355922289692
HC,S4C2NR,Shoulder,Shoulder,0.206901174662443,0.314144852520611,0.658617109280401
HC,S4C2NR,Shoulder,Tail,0.00220748596107993,0.314144852520611,0.00702696842990638
HC,S4C2NR,Tail,Central,3.30990379352044e-05,0.0433886823793131,0.000762849575514775
HC,S4C2NR,Tail,Shoulder,0.00902180298224475,0.0433886823793131,0.207929867594831
HC,S4C2NR,Tail,Tail,0.0343337803591332,0.0433886823793131,0.791307282829654
HC,S4C2R,Central,Central,0.599738715933378,0.654228934217511,0.916710779003827
HC,S4C2R,Central,Shoulder,0.0544895289443895,0.654228934217511,0.0832881673287066
HC,S4C2R,Central,Tail,6.89339743617068e-07,0.654228934217511,1.05366746648335e-06
HC,S4C2R,Shoulder,Central,0.106943678074169,0.31748722331039,0.336844037246865
HC,S4C2R,Shoulder,Shoulder,0.208658251658733,0.31748722331039,0.657217791264436
HC,S4C2R,Shoulder,Tail,0.00188529357748807,0.31748722331039,0.00593817148869931
HC,S4C2R,Tail,Central,3.36944828489824e-05,0.0282838424720993,0.00119129792503336
HC,S4C2R,Tail,Shoulder,0.00884736755447337,0.0282838424720993,0.312806421659323
HC,S4C2R,Tail,Tail,0.0194027804347769,0.0282838424720993,0.686002280415643
HC,S4C4NR,Central,Central,0.587520772701873,0.641126374851396,0.916388399772278
HC,S4C4NR,Central,Shoulder,0.0536047958167735,0.641126374851396,0.08361034254627
HC,S4C4NR,Central,Tail,8.06332749826468e-07,0.641126374851396,1.25768145166912e-06
HC,S4C4NR,Shoulder,Central,0.104818873271222,0.313764058449388,0.334069089331752
HC,S4C4NR,Shoulder,Shoulder,0.206700992054063,0.313764058449388,0.658778424385421
HC,S4C4NR,Shoulder,Tail,0.00224419312410322,0.313764058449388,0.0071524862828265
HC,S4C4NR,Tail,Central,3.30311992939623e-05,0.0451095666992156,0.000732243772462054
HC,S4C4NR,Tail,Shoulder,0.00904167629399989,0.0451095666992156,0.200438110041902
HC,S4C4NR,Tail,Tail,0.0360348592059218,0.0451095666992156,0.798829646185636
HC,S6C2NR,Central,Central,0.584215529037528,0.63976447473341,0.913172819233158
HC,S6C2NR,Central,Shoulder,0.0555474680586707,0.63976447473341,0.0868248711087268
HC,S6C2NR,Central,Tail,1.47763721112058e-06,0.63976447473341,2.30965811556872e-06
HC,S6C2NR,Shoulder,Central,0.110845565652519,0.317607757277634,0.349001443172009
HC,S6C2NR,Shoulder,Shoulder,0.20451504552572,0.317607757277634,0.643923332599667
HC,S6C2NR,Shoulder,Tail,0.00224714609939441,0.317607757277634,0.00707522422832414
