uid,Cond,ErrorRegion,Stage,nObs,ModelMass,MeanRT,Q10RT,MedianRT,Q90RT
HC,S6C2NR,Shoulder,Observed,170,NaN,1.16865000000561,0.945099999904633,1.12045000004768,1.48709999966622
HC,S6C2NR,Shoulder,H0a POPCDM,NaN,2.51858065243191,1.18124293832103,0.933406964219562,1.13340696421956,1.47340696421956
HC,S6C2NR,Tail,Observed,42,NaN,1.17084285714513,0.92925,1.17835000014305,1.36802999997139
HC,S6C2NR,Tail,H0a POPCDM,NaN,0.33803164202785,1.18671108807613,0.943406964219562,1.14340696421956,1.48340696421956
HC,S6C2R,Central,Observed,363,NaN,1.11877823691329,0.907780000114441,1.06430000019073,1.40523999977112
HC,S6C2R,Central,H0a POPCDM,NaN,5.16126796242107,1.17191484628934,0.933406964219562,1.13340696421956,1.45340696421956
HC,S6C2R,Shoulder,Observed,126,NaN,1.13245396825245,0.904019999980927,1.10499999976158,1.4024299996376
HC,S6C2R,Shoulder,H0a POPCDM,NaN,2.54428604472146,1.18130168191568,0.933406964219562,1.13340696421956,1.47340696421956
HC,S6C2R,Tail,Observed,11,NaN,1.14119090921229,0.996020000267026,1.1142999997139,1.3157000002861
HC,S6C2R,Tail,H0a POPCDM,NaN,0.224292146553015,1.19273544792275,0.943406964219562,1.14340696421956,1.49340696421956
HC,S6C4NR,Central,Observed,258,NaN,1.15889457362382,0.946630000019073,1.10789999985695,1.41065000019073
HC,S6C4NR,Central,H0a POPCDM,NaN,4.64219675190089,1.17198793320981,0.933406964219562,1.13340696421956,1.45340696421956
HC,S6C4NR,Shoulder,Observed,171,NaN,1.17143625733727,0.976559999656677,1.14119999980927,1.43036000041961
HC,S6C4NR,Shoulder,H0a POPCDM,NaN,2.39272058758781,1.18093709557591,0.933406964219562,1.13340696421956,1.47340696421956
HC,S6C4NR,Tail,Observed,71,NaN,1.30604084512549,0.993119999694825,1.24089999961853,1.58018000011444
HC,S6C4NR,Tail,H0a POPCDM,NaN,0.894928814206844,1.17931843720825,0.933406964219562,1.13340696421956,1.46340696421956
HC,S6C4R,Central,Observed,310,NaN,1.20813548387404,0.977950000047684,1.17005000019073,1.49805000019073
HC,S6C4R,Central,H0a POPCDM,NaN,5.14820723920177,1.17191650452965,0.933406964219562,1.13340696421956,1.45340696421956
HC,S6C4R,Shoulder,Observed,169,NaN,1.2019573963944,0.987720000076294,1.163,1.46126000003815
HC,S6C4R,Shoulder,H0a POPCDM,NaN,2.54047239748942,1.18129304182736,0.933406964219562,1.13340696421956,1.47340696421956
HC,S6C4R,Tail,Observed,19,NaN,1.24846315785458,0.970560000419617,1.194,1.58385999984741
HC,S6C4R,Tail,H0a POPCDM,NaN,0.241166517004346,1.19148268892487,0.943406964219562,1.14340696421956,1.49340696421956
HC,S6C6NR,Central,Observed,257,NaN,1.18280428016047,0.95178000049591,1.15510000038147,1.45481999969482
HC,S6C6NR,Central,H0a POPCDM,NaN,4.38672144401465,1.17203025636161,0.933406964219562,1.13340696421956,1.45340696421956
HC,S6C6NR,Shoulder,Observed,155,NaN,1.19038516134139,0.961800000190735,1.147,1.4572000002861
HC,S6C6NR,Shoulder,H0a POPCDM,NaN,2.31812343975653,1.18074014749233,0.933406964219562,1.13340696421956,1.47340696421956
HC,S6C6NR,Tail,Observed,88,NaN,1.29485340907899,1.02417000036239,1.2654500002861,1.57546999988556
HC,S6C6NR,Tail,H0a POPCDM,NaN,1.22500126992436,1.17810935652124,0.933406964219562,1.13340696421956,1.46340696421956
PG,S2C2NR,Central,Observed,354,NaN,1.3466262711886,1.03893000030518,1.31280000019074,1.63748999948502
PG,S2C2NR,Central,H0a POPCDM,NaN,6.15701363535076,1.35376733312207,1.06000008624415,1.31000008624415,1.69000008624415
PG,S2C2NR,Shoulder,Observed,129,NaN,1.39185348838244,1.06574000053406,1.38380000019073,1.70325999994278
PG,S2C2NR,Shoulder,H0a POPCDM,NaN,1.61107599891767,1.36537642133944,1.07000008624415,1.32000008624415,1.71000008624415
PG,S2C2NR,Tail,Observed,16,NaN,1.41084999999404,1.07656000027656,1.38255000019073,1.97459000053405
PG,S2C2NR,Tail,H0a POPCDM,NaN,0.142815083346254,1.35948237566784,1.07000008624415,1.32000008624415,1.70000008624415
PG,S4C2NR,Central,Observed,338,NaN,1.32786745563485,1.04157000007629,1.28550000047683,1.69330999994278
PG,S4C2NR,Central,H0a POPCDM,NaN,6.09653829147216,1.37545618807045,1.08000008624415,1.33000008624415,1.72000008624415
PG,S4C2NR,Shoulder,Observed,144,NaN,1.37727847224805,1.10285000019073,1.35679999995232,1.72126000032425
