CueType,DurationF,Session_z,kappa,gamma,beta,p_target,log_kappa,circSD_deg,ID,SessionSlice
R,100ms,0,25.818775601639746,0.044692677065279005,2.3027119248525478e-4,0.9550770517422357,3.251101963753431,11.388711466170015,YILIU,average
R,150ms,0,28.085118979117347,0.03291425297948513,2.971913595833516e-4,0.9667885556609315,3.3352398623691326,10.910552745101695,YILIU,average
R,200ms,0,41.1133215677107,0.04423363667162412,1.7834896072519606e-48,0.9557663633283758,3.716332194719844,8.991174887226368,YILIU,average
R,250ms,0,37.40996464117981,0.012832402061625638,0.013586012027441563,0.9735815859109328,3.6219371031893277,9.431589341817178,YILIU,average
R,300ms,0,32.549247416094694,3.479014326633372e-28,7.0336565333406e-21,1,3.4827542475299813,10.12183098345094,YILIU,average
R,350ms,0,41.41544597222369,0.020986247766208836,0.011877983831064674,0.9671357684027265,3.7236539023665984,8.95790881983064,YILIU,average
NR,50ms,-1.3927707358090902,3.481764905142234,0.0010737131699408138,0.1015205809726051,0.8974057058574542,1.2475393218759814,33.817128184725924,AQ,early
NR,100ms,-1.3927707358090902,4.271282494794241,0.1888541454917234,0.07780818778717037,0.7333376667211062,1.4519141322133897,29.836929130189024,AQ,early
NR,150ms,-1.3927707358090902,5.234192967852824,0.12203582107758656,0.2557441830498794,0.6222199958725341,1.6552126715698816,26.5024605183706,AQ,early
NR,200ms,-1.3927707358090902,5.4520729756425546,0.14796653088186545,0.1109771194792155,0.7410563496389191,1.6959958988588946,25.89541760905488,AQ,early
NR,250ms,-1.3927707358090902,3.9847574303484383,0.1288160571227939,0.1420871805371076,0.7290967623400986,1.3824764397115508,31.11082502581817,AQ,early
NR,300ms,-1.3927707358090902,5.454655764384705,0.005891864328843195,0.17006111131329024,0.8240470243578666,1.6964695126897678,25.888476801911974,AQ,early
NR,350ms,-1.3927707358090902,5.949215841823165,0.15794490991876203,0.08501855727339075,0.7570365328078472,1.7832594195820788,24.65647138385237,AQ,early
R,50ms,-1.3927707358090902,13.832362613527076,0.10648623136783077,0.039325307058693304,0.8541884615734759,2.6270109635902217,15.701605643932156,AQ,early
R,100ms,-1.3927707358090902,13.744719843920766,0.0719769701822112,0.010616570721192053,0.9174064590965968,2.620654739010123,15.753608654537958,AQ,early
R,150ms,-1.3927707358090902,11.73925008637475,0.05856238217279308,0.004423545548607435,0.9370140722785995,2.4629379355603156,17.1059677311891,AQ,early
R,200ms,-1.3927707358090902,15.42044915876121,0.0928889808917927,0.003995324404330027,0.9031156947038772,2.7356944960352947,14.8405229717218,AQ,early
R,250ms,-1.3927707358090902,17.128419112860524,9.93741747494045e-4,2.646944101804559e-18,0.999006258252506,2.8407390204450693,14.056296793137593,AQ,early
