index,r,g,b
130,153.9256274213544,233.14948085817525,0.0
131,150.0930541517654,233.89373827758095,14.09233176225739
132,146.16730325803843,234.6239637891728,27.81652431500455
133,142.14097066019085,235.34000745550574,37.32315319907825
134,138.0054835493729,236.04172259409424,45.05918758982606
135,133.7508415136246,236.72896575301368,51.77464027768782
136,129.3652800912392,237.40159668996418,57.814164791926764
137,124.8348265507478,238.0594783547703,63.36864320793679
138,120.14270281411277,238.70247687528445,68.55624346794471
139,115.26850643018952,239.33046154665684,73.45579443538075
140,110.18706047514571,239.94330482392917,78.1227901023165
141,104.86675393393053,240.5408823179081,82.59791850712752
142,99.26706863472268,241.12307279426477,86.9119758270569
143,93.3347494589738,241.68975817580804,91.08887362028348
144,86.99758829678471,242.24082354787066,95.1475697700321
145,80.15372468043101,242.7761571667447,99.10335802637434
146,72.65178045312331,243.29565047110023,102.96875787350308
147,64.25001923744117,243.79919809631278,106.75414586872739
148,54.519197514050404,244.2866978916281,110.46821435561307
149,42.55135247704072,244.75805094008084,114.11831171350293
150,25.58343841865806,245.21316158108712,117.71069935251073
151,0.0,245.6519374356232,121.25074896101464
152,0.0,246.074289433901,124.74309607311496
153,0.0,246.48013184544493,128.19176117007805
154,0.0,246.86938231147673,131.60024628984903
155,0.0,247.24196187950602,134.97161291087238
156,0.0,247.59779504002384,138.30854534373304
157,0.0,247.93680976519468,141.61340278203718
158,0.0,248.2589375494372,144.88826238820687
159,0.0,248.5641134517829,148.13495522589818
160,0.0,248.85227613989892,151.35509643543008
161,0.0,249.1233679356578,154.55011073913184
162,0.0,249.37733486213727,157.721254130339
163,0.0,249.61412669192808,160.86963242231204
164,0.0,249.8336969966262,163.9962171970045
165,0.0,250.03600319738703,167.10185958792
166,0.0,250.22100661641286,170.1873022487083
167,0.0,250.3886725292454,173.25318979410642
168,0.0,250.5389702177361,176.3000779482219
169,0.0,250.671873023558,179.3284415939549
170,0.0,250.78735840213216,182.3386818842152
171,0.0,250.88540797683103,185.33113254881016
172,0.0,250.96600759332472,188.306065509084
173,0.0,251.02914737393587,191.26369589456812
174,0.0,251.0748217718652,194.20418654126075
175,0.0,251.10302962514962,197.12765203905104
176,0.0,251.11377421021822,200.03416238576511
177,0.0,251.10706329490452,202.92374629694424
178,0.0,251.08290919077837,205.79639421345934
179,0.0,251.04132880465787,208.65206104318366
180,0.0,250.98234368916343,211.49066866797486
181,0.0,250.90598009217365,214.3121082430185
182,0.0,250.81226900504547,217.1162423120109
183,0.0,250.70124620945995,219.90290675861246
184,0.0,250.57295232275467,222.6719126120019
185,0.0,250.42743284160636,225.42304772212418
186,0.0,250.26473818392614,228.15607831830218
187,0.0,250.0849237288303,230.87075046322914
188,0.0,249.88804985455252,233.56679141291357
189,0.0,249.6741819741607,236.24391089191414
190,0.0,249.4433905689472,238.90180229211032
191,0.0,249.1957512193574,241.54014380231604
192,0.0,248.93134463332655,244.15859947521753
193,0.0,248.65025667189516,246.7568202373913
194,0.0,248.35257837197244,249.33444484752894
195,0.0,248.03840596612247,251.89110080743427
196,0.0,247.70784089924655,254.42640522986792
197,0.0,247.36098984203832,254.99999999999997
198,0.0,246.99796470108953,254.99999999999997
199,0.0,246.61888262552694,254.99999999999997
200,0.0,246.22386601006144,254.99999999999997
201,0.0,245.8130424943353,254.99999999999997
202,0.0,245.3865449584536,254.99999999999997
203,0.0,244.94451151458819,254.99999999999997
204,0.0,244.4870854945484,254.99999999999997
205,0.0,244.01441543321047,254.99999999999997
206,0.0,243.52665504770584,254.99999999999997
207,0.0,243.02396321226703,254.99999999999997
208,0.0,242.5065039286372,254.99999999999997
209,0.0,241.97444629194834,254.99999999999997
210,0.0,241.42796445198294,254.99999999999997
211,0.0,240.8672375697297,254.99999999999997
212,0.0,240.29244976915723,254.99999999999997
213,0.0,239.7037900841247,254.99999999999997
214,0.0,239.10145240036118,254.99999999999997
215,0.0,238.4856353924439,254.99999999999997
