index,r,g,b
330,255,141.192829740111,255
331,255,140.571891446185,255
332,255,139.961121679691,255
333,255,139.360783203129,255
334,255,138.771149635649,255
335,255,138.192505524524,255
336,255,137.625146371532,255
337,255,137.069378611679,255
338,255,136.525519541747,255
339,255,135.99389719624,254.619731278778
340,255,135.474850168364,252.161658356487
341,255,134.968727373832,249.685040507645
342,255,134.475887755385,247.190286880922
343,255,133.996699926153,244.677796801993
344,255,133.531541750141,242.147959039596
345,255,133.080799858384,239.601151042137
346,255,132.6448690996,237.037738142243
347,255,132.224151924473,234.458072726375
348,255,131.819057703035,231.862493366252
349,255,131.430001975042,229.251323908466
350,255,131.057405633605,226.624872518228
351,255,130.701694042857,223.983430672685
352,255,130.363296090866,221.327272098701
353,255,130.042643179596,218.656651649345
354,255,129.740168154193,215.971804112607
355,255,129.456304174519,213.272942945031
356,255,129.191483532396,210.560258922015
357,255,128.946136418645,207.833918695413
358,255,128.720689644626,205.094063247837
359,255,128.515565323558,202.340806231616
